iter	Passed	Remaining
0	109	108967
1	111	55631
2	113	37616
3	114	28555
4	116	23158
5	118	19561
6	119	16961
7	121	15013
8	122	13509
9	124	12320
10	126	11337
11	127	10536
12	129	9838
13	131	9235
14	132	8713
15	134	8261
16	136	7866
17	137	7507
18	139	7198
19	141	6918
20	142	6652
21	144	6417
22	146	6202
23	147	6014
24	149	5833
25	151	5673
26	153	5517
27	154	5373
28	156	5244
29	158	5115
30	159	4991
31	161	4877
32	163	4779
33	164	4682
34	166	4585
35	167	4497
36	169	4413
37	171	4330
38	172	4258
39	174	4187
40	176	4118
41	177	4047
42	179	3985
43	180	3926
44	182	3867
45	183	3812
46	185	3758
47	186	3708
48	188	3661
49	190	3616
50	191	3571
51	193	3529
52	195	3485
53	196	3449
54	198	3413
55	200	3371
56	201	3335
57	203	3303
58	205	3281
59	207	3253
60	209	3224
61	211	3196
62	213	3168
63	214	3139
64	216	3112
65	217	3083
66	219	3056
67	221	3030
68	222	3007
69	224	2982
70	226	2959
71	227	2935
72	229	2912
73	231	2892
74	233	2877
75	235	2857
76	236	2834
77	238	2813
78	239	2794
79	241	2777
80	243	2759
81	244	2739
82	245	2713
83	247	2696
84	248	2679
85	250	2665
86	252	2651
87	254	2633
88	255	2618
89	257	2601
90	259	2589
91	260	2573
92	262	2559
93	264	2546
94	265	2531
95	267	2516
96	268	2502
97	270	2490
98	272	2476
99	273	2462
100	275	2451
101	277	2440
102	279	2438
103	282	2430
104	283	2417
105	284	2402
106	286	2392
107	288	2382
108	290	2370
109	291	2358
110	293	2348
111	294	2337
112	296	2326
113	297	2315
114	299	2305
115	301	2294
116	302	2281
117	304	2272
118	305	2262
119	307	2252
120	308	2241
121	309	2228
122	311	2219
123	312	2211
124	314	2201
125	316	2192
126	317	2182
127	319	2174
128	320	2165
129	322	2158
130	324	2153
131	326	2146
132	327	2137
133	329	2129
134	330	2120
135	332	2111
136	333	2102
137	335	2094
138	336	2086
139	338	2078
140	340	2071
141	341	2061
142	342	2054
143	344	2045
144	345	2039
145	347	2034
146	349	2029
147	351	2021
148	352	2014
149	354	2009
150	356	2003
151	358	1997
152	359	1990
153	360	1982
154	362	1975
155	363	1969
156	365	1963
157	367	1957
158	368	1951
159	370	1947
160	371	1938
161	373	1931
162	374	1924
163	376	1918
164	378	1913
165	379	1907
166	381	1901
167	382	1895
168	384	1890
169	386	1885
170	387	1880
171	389	1876
172	391	1870
173	392	1864
174	394	1860
175	396	1855
176	397	1850
177	399	1844
178	401	1839
179	402	1833
180	404	1828
181	406	1825
182	408	1823
183	410	1818
184	411	1812
185	412	1807
186	414	1802
187	416	1799
188	418	1795
189	420	1792
190	422	1787
191	423	1782
192	425	1778
193	427	1775
194	428	1769
195	430	1764
196	432	1760
197	434	1758
198	435	1753
199	437	1748
200	439	1745
201	441	1745
202	443	1741
203	445	1736
204	446	1732
205	448	1727
206	449	1723
207	451	1719
208	453	1714
209	454	1709
210	456	1708
211	458	1704
212	460	1700
213	462	1696
214	463	1693
215	465	1689
216	467	1685
217	468	1681
218	470	1677
219	471	1672
220	473	1668
221	475	1664
222	477	1662
223	478	1658
224	480	1654
225	482	1650
226	483	1647
227	485	1643
228	487	1639
229	488	1636
230	490	1632
231	491	1628
232	493	1624
233	495	1620
234	496	1616
235	498	1613
236	500	1609
237	501	1606
238	503	1603
239	505	1600
240	507	1597
241	508	1593
242	510	1589
243	511	1586
244	513	1582
245	514	1577
246	516	1574
247	518	1571
248	519	1568
249	521	1564
250	523	1561
251	524	1557
252	526	1553
253	527	1549
254	529	1546
255	530	1543
256	532	1540
257	534	1536
258	536	1534
259	537	1530
260	539	1527
261	541	1524
262	542	1521
263	544	1517
264	545	1514
265	547	1511
266	549	1507
